id,title,artist,year,views,features,is_country,is_pop,is_rap,is_rb,is_rock,stanza_number,is_chorus,lemmatized_stanzas
138153,Smelling Salt,For the Fallen Dreams,2014,405,{'Landon Tewers'},False,False,False,False,True,3,False,"['this', 'be', 'what', 'I', 'need', 'to', 'say', 'to', 'keep', 'to', 'myself', 'from', 'watch', 'you', 'walk', 'away', 'and', 'the', 'clock', 'be', 'tick', 'five', 'year', 'fast', 'forward', 'its', 'not', 'go', 'to', 'be', 'the', 'same', 'it', 'will', 'never', 'be', 'the', 'same', 'I', 'do', 'not', 'want', 'to', 'lose', 'my', 'way']"
130682,Dan Collins vs. The Maryland Judicial System,Teen Suicide,2012,5497,{''},False,False,False,False,True,1,False,"['I', 'do', 'not', 'wanna', 'go', 'anywhere', 'with', 'you', 'I', 'have', 'get', 'so', 'many', 'well', 'thing', 'that', 'I', 'wanna', 'do']"
94220,MonaLisa,Sayla,2015,103,{'Yang Ariff'},False,False,True,False,False,4,False,"['light', 'the', 'blunt', 'let', 'the', 'high', 'take', 'you', 'back', 'I', 'get', 'the', 'record', 'stack', 'that', 'could', 'sink', 'a', 'city', 'of', 'dame', 'addict', 'to', 'plaque', 'they', 'get', 'that', 'motown', 'mojo', 'apollo', 'mode', 'yo', 'pull', 'a', 'young', 'lauryn', 'turn', 'phoenix', 'and', 'set', 'fire', 'to', 'the', 'dojo', 'come', 'home', 'I', '’ll', 'treat', 'you', 'well', 'than', 'the', 'old', 'chief', 'and', 'head', 'honchos', 'come', 'on', 'come', 'on', 'let', '’s', 'play', 'a', 'high', 'game', 'of', 'chess', 'pick', 'your', 'brain', 'and', 'let', 'the', 'lust', 'the', 'digress', 'digest', 'the', 'love', 'lose', 'they', 'love', 'war', 'so', 'you', 'do', 'n’t', 'fuck', 'with', 'em', 'they', 'be', 'buggin', 'bout', 'be', 'the', 'big', 'boss', 'but', 'I', 'do', 'n’t', 'bug', 'with', 'em', 'I', 'be', 'the', 'good', 'guy', 'befriend', 'bad', 'guy', 'that', 'want', 'to', 'be', 'good', 'guy', 'but', 'do', 'it', 'mad', 'fly', 'too', 'short', 'for', 'b', 'ball', 'but', 'too', 'long', 'for', 'the', 'just', 'one', 'time', 'conscious', 'of', 'the', 'consequence', 'of', 'shower', 'you', 'with', 'compliment', 'so', 'I', 'hold', 'back', 'do', 'not', 'let', 'you', 'forget', 'the', 'scene', '’s', 'cotton', 'candy', 'and', 'I', 'know', 'you', 'love', 'throwback', 'so', 'come', 'back', 'to', 'gold', 'love', 'we', 'on', 'that']"
130450,Here I Go Again,Anuhea,2009,150,{''},False,False,False,False,True,5,False,"['here', 'I', 'go', 'here', 'I', 'go', 'here', 'I', 'go', 'again', 'here', 'I', 'go', 'here', 'I', 'go', 'here', 'I', 'go', 'again', 'here', 'I', 'go', 'here', 'I', 'go', 'here', 'I', 'go', 'again', 'run', 'away', 'to', 'say', 'hello', 'all', 'over', 'again']"
122838,Genesis-Revelations,Kalen Lumiere,2017,31,{''},False,False,False,True,False,2,True,"['see', 'you', 'the', 'genesis', 'when', 'you', 'take', 'your', 'clothe', 'off', 'it', 'be', 'revelation']"
73629,Waiting For Red Lights,F-Timmi,2015,20,{''},False,True,False,False,False,0,False,"['I', 'turn', 'around', 'and', 'look', 'to', 'see', 'you', 'say', 'hello', 'to', 'someone', 'else', 'and', 'soon', 'these', 'thought', 'flow', 'constantly', 'of', 'who', 'you', 'be', 'and', 'what', 'we', 'should', 'be', 'I', 'know', 'that', 'I', 'be', 'only', 'here', 'to', 'turn', 'you', 'on', 'to', 'all', 'the', 'thing', 'you', 'will', 'want', 'someday', 'from', 'someone', 'else', 'so', 'my', 'flag', ""'s"", 'up', 'here', 'be', 'my', 'mayday']"
82866,Dead Presidents,Sir Toney,2019,10,{''},False,False,True,False,False,9,False,"['with', 'that', 'being', 'say', 'I', '’m', 'do', 'all', 'that', 'I', 'can']"
91706,Lie to Me feat. BBG Smokey Alternate Version,Lil Mussie,2022,14,{'BBG Smokey'},False,False,True,False,False,2,False,"['she', 'over', 'mebut', 'I', 'swear', 'she', 'a', 'hoe', 'for', 'I', 'come', 'hold', 'I', 'please', 'this', 'lifestyle', 'she', 'a', 'hoe', 'for', 'I', 'she', 'hoe', 'for', 'I', 'yeah', 'rockstar', 'life', 'style', 'baby', 'rockstar', 'rock', 'I', 'baby', 'she', 'use', 'to', 'drive', 'an', '80', '’s', 'now', 'she', 'want', 'drive', 'mercede', 'she', 'can', 'drive', 'I', 'so', 'crazy', 'she', 'want', 'hold', 'I', 'baby', 'she', 'want', 'hold', 'I', 'crazy', 'yeah', ""'cuz"", 'there', ""'s"", 'thing', 'wanna', 'do', 'to', 'you', 'show', 'to', 'you', 'this', 'lifestyle', 'it', 'be', 'so', 'new', 'to', 'you', 'it', 'be', 'rude', 'to', 'you', 'this', 'money', 'it', 'be', 'not', 'news', 'to', 'you', 'so', 'new', 'to', 'you', 'this', 'money', 'it', 'be', 'not', 'news', 'to', 'you', 'yeah', 'so', 'new', 'to', 'you']"
47921,Precious Cargo,Barbara Dickson,1989,117,{''},False,True,False,False,False,4,False,"['this', 'baby', 'never', 'sleep', 'no', 'this', 'baby', 'never', 'sleep', 'it', 'lie', 'in', 'the', 'dark', 'with', 'one', 'eye', 'open', 'watch', 'the', 'world', 'watch', 'the', 'world']"
161469,Fire,Augustana,2008,2238,{''},False,False,False,False,True,2,False,"['there', 'you', 'be', 'in', 'your', 'black', 'dress', 'move', 'slow', 'to', 'the', 'sadness', 'I', 'could', 'watch', 'you', 'dance', 'for', 'hour', 'I', 'could', 'take', 'you', 'by', 'my', 'side']"
